SI4	ARENA	LIMO	ARCILLA	P	K	Ca	Mg	Na	CARBONAT	CALIZA	MO	CCC	pH	CONDUCT
14	46.3	22.9	30.8	1	207	20.6	0	1.34	0	0	6.6	7.8	6.6	0.35
14	46.2	34.05	19.75	4	340	22	0.1	2.24	5.7	0	4.9	25.2	7	0.41
14	65.9	19.25	14.85	2	114	22	0	1.3	0.2	0	4.9	24.7	5.6	0.13
14	61.35	21.1	17.55	1	275	21	0.1	0.77	0	0	8	17.2	4.4	0.17
14	45.75	19.4	34.85	2	78	22	0	1.71	0.3	0	3.2	23.4	7.2	0.2
14	59.25	23.65	17.1	1	130	22	0	2.74	2.3	0	7.9	32.1	7	0.34
14	85.2	6.75	8.05	2	98	6	0.2	0.38	0.1	0	3.5	7.8	4.6	0.11
14	40.45	37.4	22.15	2	224	49.4	0	1.2	18	2.2	6.3	10	7.9	0.37
14	80.55	8.8	10.65	9	143	0.2	0.3	0.28	0.1	0	6.9	20.9	3.6	0.11
14	51.4	32.75	15.85	1	185	23	0	1.4	14.2	9.9	5	29.9	8	0.27
14	42.3	26.2	31.5	2	114	46.3	0.2	0.1	0.2	0	5.2	23.1	7.2	0.25
14	70.8	12.8	16.4	1	80	1.6	0.4	0.13	0.7	0	3.3	17.8	4.5	0.03
14	60.65	14.95	24.4	1	130	11.2	0.6	0.16	0.2	0	3.3	7.8	7.5	0.14
14	37.05	36.15	26.8	1	445	2.7	0.6	0.23	0.6	0	4.9	28.8	7.2	0.23
14	58.6	32	9.4	23	192	12.3	0.5	0.2	10.7	1.9	5	27.2	8.3	0.14
17	64.5	24.65	10.85	5	68	20	0.3	1	2.1	0	3.4	21.2	8.1	0.18
17	63.05	26.3	10.65	3	111	23.6	0	1.16	16.3	1.8	7.1	22.8	7.8	0.31
17	62.95	23.5	13.55	1	119	43.8	0.2	0.06	3.1	0	5.8	28.8	7.7	0.31
17	78.45	15.9	5.65	5	60	26.4	0.3	0.07	6.3	0	10.3	34.4	7.9	0.22
20	70.35	13.75	15.9	5	45	20.2	0	0.74	0.2	0	4.6	6.6	6.5	0.23
20	67.45	9.45	23.1	4	130	23	0	0.96	0.4	0	2.8	19.8	5.8	0.08
20	57.2	25.9	16.9	1	105	3.1	0.6	0.13	0.5	0	5.1	19.3	6.4	0.13
20	84.3	7.2	8.5	2	23	1.5	0.2	0.05	0.2	0	5.1	9.4	4.6	0.08
20	46.1	20.65	33.25	1	242	11	0	4.95	11.6	1.5	4.3	24.5	7.6	0.27
23	81.1	12.25	6.65	4	19	13	0	0.06	0.2	0	1.1	5.5	3.6	0.02
23	56.85	7.8	5.35	1	31	2	0	0.09	0.1	0	1.6	8.6	3.9	0.04
23	74.8	13.65	11.55	3	70	2.8	0.4	0.05	0.1	0	1.7	13.4	4.7	0.06
23	79.05	12.55	8.4	10	151	0.7	0.2	0.11	0	0	5	18.4	4.2	0.04
